Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,25.290001,25.530001,24.740000,24.770000,13.014064,65079900
2019-01-29,25.250000,25.559999,25.110001,25.370001,13.329302,59419200
2019-01-30,25.809999,25.930000,25.469999,25.620001,13.460651,62607500
2019-01-31,25.870001,25.959999,25.559999,25.580000,13.439634,63253600
2019-02-01,25.500000,25.850000,25.370001,25.799999,13.555222,47957400
2019-02-04,25.840000,26.120001,25.600000,26.030001,13.676061,53874900
2019-02-05,25.910000,26.100000,25.809999,26.080000,13.702332,40989100
2019-02-06,25.799999,25.840000,25.320000,25.490000,13.392346,64527000
2019-02-07,25.600000,25.850000,24.660000,25.090000,13.182189,55614100
2019-02-08,24.799999,25.280001,24.730000,25.129999,13.203204,40153900
2019-02-11,25.170000,25.170000,24.540001,24.840000,13.050841,39617300
2019-02-12,25.320000,25.850000,25.230000,25.719999,13.513189,72467200
2019-02-13,26.020000,26.209999,25.850000,26.049999,13.686568,69042200
2019-02-14,26.170000,26.950001,26.000000,26.950001,14.159425,81125500
2019-02-15,26.860001,27.020000,26.709999,26.840000,14.101634,63841800
2019-02-18,26.590000,26.790001,26.410000,26.760000,14.059600,43379000
2019-02-19,26.860001,27.400000,26.840000,27.379999,14.385346,58041900
2019-02-20,27.500000,27.660000,26.870001,27.040001,14.206712,55114500
2019-02-21,27.180000,27.490000,26.820000,27.400000,14.395855,46559400
2019-02-22,27.549999,27.700001,27.129999,27.129999,14.253998,36602000
2019-02-25,27.000000,27.030001,26.629999,26.700001,14.028076,54190800
2019-02-26,26.760000,27.139999,26.570000,26.580000,13.965030,46504200
2019-02-27,26.840000,27.250000,26.629999,27.080000,14.227728,49131400
2019-02-28,27.719999,27.750000,26.600000,27.059999,14.217220,93065100
2019-03-01,27.139999,27.250000,26.629999,26.700001,14.028076,41978700
2019-03-06,26.549999,26.760000,26.469999,26.760000,14.059600,18423400
2019-03-07,26.799999,26.910000,26.490000,26.770000,14.064857,32835300
2019-03-08,26.490000,26.750000,26.219999,26.670000,14.012313,49564400
2019-03-11,27.020000,27.780001,27.010000,27.750000,14.579745,66742800
2019-03-12,27.790001,27.959999,27.250000,27.500000,14.448393,64287300
2019-03-13,27.590000,28.129999,27.520000,28.100000,14.763630,61057200
2019-03-14,28.150000,28.200001,27.910000,28.190001,14.810918,42777800
2019-03-15,28.160000,28.389999,28.110001,28.250000,14.842441,61041100
2019-03-18,28.350000,28.790001,28.260000,28.740000,15.099888,91920600
2019-03-19,28.850000,29.500000,28.600000,29.200001,15.341568,69423600
2019-03-20,29.200001,29.600000,28.900000,28.969999,15.220727,68878000
2019-03-21,28.840000,28.969999,27.920000,28.559999,15.005313,80121300
2019-03-22,27.940001,28.139999,27.000000,27.000000,14.185699,104731100
2019-03-25,26.830000,27.590000,26.820000,27.340000,14.364332,104772900
2019-03-26,27.740000,28.680000,27.719999,28.629999,15.042093,91549100
2019-03-27,28.209999,28.209999,27.340000,27.340000,14.364332,66415400
2019-03-28,27.250000,28.059999,26.950001,28.059999,14.742615,69412700
2019-03-29,28.450001,28.530001,27.740000,28.059999,14.742615,51587400
2019-04-01,28.400000,28.420000,27.870001,28.000000,14.711093,42289800
2019-04-02,28.139999,28.299999,27.860001,28.290001,14.863458,38460600
2019-04-03,28.530001,28.559999,27.540001,27.540001,14.469413,55120900
2019-04-04,27.770000,28.469999,27.370001,28.469999,14.958027,52248100
2019-04-05,28.540001,28.889999,28.209999,28.780001,15.120901,54708900
2019-04-08,29.059999,29.389999,28.980000,29.250000,15.367838,55270000
2019-04-09,29.030001,29.240000,28.670000,29.160000,15.320551,43863700
2019-04-10,29.549999,29.570000,28.780001,28.780001,15.120901,62005200
2019-04-11,28.700001,28.700001,27.870001,28.000000,14.711093,56126400
2019-04-12,26.469999,26.969999,25.570000,25.830000,13.570983,227307600
2019-04-15,26.350000,26.580000,25.549999,25.930000,13.623523,117567200
2019-04-16,25.950001,27.059999,25.629999,26.719999,14.038582,95149300
2019-04-17,27.120001,27.340000,26.219999,26.750000,14.054348,103988400
2019-04-18,27.360001,27.889999,27.250000,27.600000,14.500935,100942100
2019-04-22,27.690001,27.889999,27.320000,27.440001,14.416870,45321900
2019-04-23,27.719999,28.000000,27.680000,27.680000,14.542966,52199500
2019-04-24,27.719999,27.889999,27.209999,27.600000,14.500935,57704700
2019-04-25,27.450001,28.070000,27.430000,27.799999,14.606012,55201700
2019-04-26,27.680000,27.770000,27.059999,27.250000,14.327092,52616600
2019-04-29,27.549999,27.620001,27.340000,27.370001,14.390182,27689800
2019-04-30,27.520000,27.660000,26.980000,27.110001,14.253485,39570700
2019-05-02,26.799999,26.820000,26.520000,26.730000,14.053695,37820300
2019-05-03,26.900000,27.070000,26.850000,26.850000,14.116786,33334800
2019-05-06,26.389999,26.770000,26.360001,26.770000,14.074727,31715900
2019-05-07,26.650000,26.660000,26.120001,26.350000,13.853904,52454400
2019-05-08,26.309999,27.469999,26.290001,27.370001,14.390182,71780300
2019-05-09,27.100000,27.120001,26.639999,26.830000,14.106273,46663300
2019-05-10,26.870001,26.920000,26.420000,26.680000,14.027407,33336000
2019-05-13,26.209999,26.469999,25.820000,25.900000,13.617309,43146100
2019-05-14,26.170000,26.230000,25.850000,26.000000,13.669885,34968600
2019-05-15,25.740000,25.889999,25.660000,25.879999,13.606793,37053900
2019-05-16,25.770000,26.040001,25.240000,25.270000,13.286078,46502200
2019-05-17,25.049999,25.420000,24.469999,24.680000,12.975877,67291200
2019-05-20,24.680000,25.520000,24.639999,25.520000,13.417519,54472000
2019-05-21,25.700001,26.490000,25.420000,26.490000,13.927511,57846700
2019-05-22,26.340000,26.469999,25.959999,26.290001,13.874734,48439300
2019-05-23,25.900000,25.920000,25.520000,25.840000,13.637247,49527400
2019-05-24,26.150000,26.360001,25.930000,26.090000,13.769186,35915100
2019-05-27,26.299999,26.540001,26.170000,26.240000,13.848350,33892000
2019-05-28,26.129999,26.799999,26.129999,26.799999,14.143890,60774600
2019-05-29,26.490000,26.709999,26.260000,26.500000,13.985565,43124400
2019-05-30,26.510000,26.860001,25.990000,26.150000,13.800852,71847200
2019-05-31,25.790001,26.270000,25.420000,25.549999,13.484196,63137200
2019-06-03,25.879999,26.320000,25.850000,25.990000,13.716409,53470600
2019-06-04,26.290001,26.370001,26.030001,26.200001,13.827237,37331100
2019-06-05,26.180000,26.290001,25.559999,25.860001,13.647798,65282100
2019-06-06,26.170000,26.629999,25.719999,26.280001,13.869456,87836900
2019-06-07,26.690001,26.830000,26.370001,26.760000,14.122783,52235500
2019-06-10,26.600000,26.889999,26.520000,26.650000,14.064727,39666800
2019-06-11,26.889999,27.290001,26.709999,27.160000,14.333885,52437000
2019-06-12,27.020000,27.120001,26.639999,26.850000,14.170279,43392200
2019-06-13,27.150000,27.389999,27.080000,27.180000,14.344440,48981600
2019-06-14,27.200001,27.250000,26.900000,27.059999,14.281108,42802400
2019-06-17,27.080000,27.430000,26.959999,27.110001,14.307495,49290000
2019-06-18,27.299999,27.520000,27.250000,27.450001,14.486934,31332800
2019-06-19,27.350000,27.590000,27.219999,27.520000,14.523876,33286300
2019-06-21,27.950001,28.389999,27.950001,28.280001,14.924972,58424700
2019-06-24,28.320000,28.379999,28.120001,28.250000,14.909139,27365000
2019-06-25,28.139999,28.160000,27.379999,27.510000,14.518596,56472100
2019-06-26,27.549999,27.930000,27.520000,27.670000,14.603041,48901500
2019-06-27,27.440001,27.549999,27.010000,27.230000,14.370828,55219200
2019-06-28,27.450001,27.610001,27.110001,27.410000,14.465825,40262000
2019-07-01,27.840000,28.030001,27.209999,27.260000,14.386660,46759100
2019-07-02,27.260000,27.260000,26.650000,26.820000,14.154447,57954200
2019-07-03,27.040001,27.200001,26.889999,27.180000,14.344440,29291800
2019-07-04,27.379999,27.580000,27.320000,27.389999,14.455268,28577400
2019-07-05,27.270000,27.590000,27.129999,27.400000,14.460544,27414700
2019-07-08,27.500000,27.719999,27.440001,27.650000,14.592485,25318200
2019-07-10,28.000000,28.270000,27.969999,28.070000,14.814142,50715800
2019-07-11,28.200001,28.510000,28.160000,28.400000,14.988305,48206900
2019-07-12,28.540001,28.740000,28.410000,28.530001,15.056912,40908900
2019-07-15,28.590000,28.650000,28.180000,28.180000,14.872200,36592400
2019-07-16,28.280001,28.330000,27.600000,27.830000,14.687481,54789300
2019-07-17,27.990000,28.000000,27.639999,27.680000,14.608316,28923500
2019-07-18,27.760000,27.809999,27.430000,27.510000,14.518596,35830700
2019-07-19,27.500000,27.600000,27.370001,27.440001,14.481655,28418900
2019-07-22,27.620001,27.750000,27.360001,27.490000,14.508045,22304400
2019-07-23,27.510000,27.629999,27.400000,27.520000,14.523876,21124400
